Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,FraudFound,ClaimedAmount
Jul,1,Friday,VW,Urban,Jul,1,Male,Single,34,Third Party,Sedan - Liability,0,5,3131,6,400,3,more than 30,more than 30,more than 4,5 years,No,No,External,none,no change,1 vehicle,1994,0,0,5248
Apr,4,Tuesday,Toyota,Urban,Apr,4,Male,Married,36,Policy Holder,Sedan - Liability,0,2,3132,6,700,3,more than 30,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,1994,0,1,4280
Jul,3,Sunday,Pontiac,Urban,Aug,1,Male,Married,26,Third Party,Sedan - All Perils,1,1,3133,15,400,2,more than 30,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,1994,1,0,6272
Jul,3,Saturday,Pontiac,Urban,Jul,3,Male,Single,30,Policy Holder,Sedan - Collision,1,5,3134,5,400,3,more than 30,more than 30,2 to 4,6 years,No,No,External,none,no change,1 vehicle,1994,2,0,4746
Aug,2,Sunday,Toyota,Urban,Aug,2,Male,Married,41,Policy Holder,Sedan - Liability,0,1,3135,4,400,2,more than 30,more than 30,1,more than 7,No,No,External,more than 5,no change,1 vehicle,1994,0,0,4396
Aug,2,Saturday,Honda,Urban,Aug,3,Male,Married,31,Policy Holder,Sedan - Collision,1,1,3136,2,400,1,more than 30,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,1994,2,0,5801
Sep,4,Wednesday,Chevrolet,Urban,Sep,4,Male,Married,52,Policy Holder,Sedan - All Perils,1,1,3137,3,400,2,more than 30,more than 30,1,more than 7,No,No,External,none,no change,1 vehicle,1994,1,0,6051
Sep,3,Sunday,Toyota,Urban,Sep,4,Male,Single,30,Policy Holder,Sedan - All Perils,1,0,3138,10,400,1,more than 30,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,1994,1,0,5477
Oct,2,Monday,Chevrolet,Urban,Oct,3,Male,Married,45,Policy Holder,Sedan - Liability,0,1,3139,2,400,3,more than 30,more than 30,2 to 4,7 years,No,No,External,3 to 5,no change,1 vehicle,1994,0,0,5862
Oct,1,Thursday,Pontiac,Rural,Oct,2,Male,Married,30,Policy Holder,Sedan - Liability,0,2,3140,16,400,4,more than 30,more than 30,2 to 4,5 years,No,No,External,3 to 5,no change,1 vehicle,1994,0,0,4808
Apr,4,Tuesday,Mazda,Rural,May,1,Male,Married,36,Policy Holder,Sedan - Collision,1,1,3141,1,400,4,more than 30,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,1994,2,1,5995
Oct,4,Wednesday,Pontiac,Urban,Oct,4,Male,Single,38,Policy Holder,Sedan - Liability,0,2,3142,15,400,1,more than 30,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,1994,0,0,5054
Apr,4,Tuesday,Toyota,Urban,May,3,Female,Single,35,Policy Holder,Sedan - All Perils,1,1,3143,10,400,3,more than 30,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,1994,1,1,6920
Nov,2,Tuesday,Toyota,Urban,Nov,3,Male,Married,36,Policy Holder,Sedan - Collision,1,5,3144,14,400,2,more than 30,more than 30,2 to 4,6 years,No,No,External,more than 5,no change,1 vehicle,1994,2,0,5829
Dec,4,Monday,Honda,Urban,Jan,1,Male,Married,43,Policy Holder,Sedan - Liability,0,2,3145,15,400,1,more than 30,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,1994,0,0,4184
Dec,4,Thursday,Pontiac,Urban,Jan,1,Male,Married,61,Third Party,Sedan - Liability,0,5,3146,7,400,4,more than 30,more than 30,2 to 4,6 years,No,No,External,more than 5,no change,1 vehicle,1994,0,0,4963
May,3,Monday,Toyota,Urban,May,3,Female,Married,52,Policy Holder,Sedan - Collision,1,1,3147,12,400,2,more than 30,more than 30,none,5 years,No,No,External,1 to 2,no change,1 vehicle,1994,2,0,6466
May,3,Monday,Toyota,Urban,May,3,Male,Married,28,Policy Holder,Sedan - Liability,0,2,3148,3,400,1,more than 30,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,1994,0,0,4141
Apr,4,Tuesday,Honda,Urban,May,2,Male,Married,45,Third Party,Sedan - Collision,1,1,3149,4,400,3,more than 30,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,1994,2,0,6699
Nov,4,Wednesday,Honda,Urban,Nov,4,Male,Married,28,Policy Holder,Sedan - Collision,1,1,3150,2,400,4,more than 30,more than 30,1,6 years,No,No,External,none,no change,1 vehicle,1994,2,0,6456
Jun,4,Wednesday,VW,Rural,Jun,4,Male,Married,53,Policy Holder,Sedan - Liability,0,5,3151,13,400,1,more than 30,more than 30,2 to 4,more than 7,No,No,External,1 to 2,4 to 8 years,2 vehicles,1994,0,0,5504
Aug,5,Wednesday,Toyota,Rural,Sep,1,Female,Single,32,Policy Holder,Sedan - Collision,1,1,3152,6,400,1,more than 30,more than 30,1,5 years,No,No,External,none,no change,1 vehicle,1994,2,0,5286
Jul,3,Tuesday,Toyota,Urban,Jul,4,Male,Married,51,Policy Holder,Sedan - Collision,1,1,3153,11,400,3,more than 30,more than 30,2 to 4,7 years,No,No,External,3 to 5,no change,1 vehicle,1994,2,0,6094
Jul,3,Tuesday,Pontiac,Urban,Jul,3,Male,Married,38,Policy Holder,Sedan - Collision,1,1,3154,15,400,2,more than 30,more than 30,1,7 years,No,No,External,more than 5,no change,1 vehicle,1994,2,0,6186
Dec,1,Saturday,Pontiac,Urban,Jan,1,Male,Married,55,Third Party,Sedan - Collision,1,1,3155,4,400,2,more than 30,more than 30,2 to 4,7 years,No,No,External,3 to 5,no change,1 vehicle,1994,2,0,7394
Nov,5,Wednesday,Mazda,Urban,Dec,4,Male,Single,32,Policy Holder,Sedan - Liability,0,1,3156,7,400,1,more than 30,more than 30,2 to 4,6 years,No,No,External,1 to 2,no change,1 vehicle,1994,0,0,4614
Apr,4,Wednesday,Honda,Urban,May,1,Male,Single,0,Third Party,Sedan - Collision,1,5,3157,8,400,3,more than 30,more than 30,none,new,No,No,External,none,no change,1 vehicle,1994,2,0,5790
Aug,3,Friday,Pontiac,Urban,Aug,4,Male,Married,38,Third Party,Sedan - Collision,1,1,3158,3,400,2,more than 30,more than 30,none,more than 7,No,No,External,none,no change,3 to 4,1994,2,0,5865
Sep,2,Saturday,Chevrolet,Urban,Sep,3,Male,Married,33,Policy Holder,Sedan - All Perils,1,5,3159,6,400,1,more than 30,more than 30,none,6 years,Yes,No,External,1 to 2,no change,1 vehicle,1994,1,0,5359
Sep,4,Tuesday,Mazda,Urban,Sep,4,Male,Married,32,Policy Holder,Sedan - Collision,1,2,3160,8,400,1,more than 30,more than 30,1,7 years,No,No,External,1 to 2,no change,1 vehicle,1994,2,0,6155
Sep,3,Monday,Pontiac,Urban,Sep,3,Male,Single,34,Policy Holder,Sedan - All Perils,1,1,3161,10,400,2,more than 30,more than 30,2 to 4,6 years,No,No,External,more than 5,no change,1 vehicle,1994,1,0,5132
Sep,3,Monday,Honda,Urban,Sep,3,Female,Married,41,Policy Holder,Sedan - Liability,0,5,3162,16,400,3,more than 30,more than 30,2 to 4,3 years,No,No,External,none,no change,1 vehicle,1994,0,0,5712
Oct,2,Monday,Pontiac,Urban,Oct,2,Male,Married,43,Policy Holder,Sedan - All Perils,1,1,3163,16,700,4,more than 30,more than 30,none,more than 7,No,No,External,1 to 2,2 to 3 years,1 vehicle,1994,1,0,6650
Nov,4,Sunday,Honda,Urban,Nov,4,Male,Single,34,Third Party,Sedan - Liability,0,1,3164,8,400,3,more than 30,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,1994,0,0,5189
Jan,2,Friday,Mazda,Urban,Mar,2,Male,Married,36,Policy Holder,Sport - Collision,0,5,3165,10,400,4,more than 30,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,1994,2,0,5265
Jan,2,Saturday,Pontiac,Urban,Mar,4,Male,Single,20,Policy Holder,Sedan - Collision,1,1,3166,15,400,3,more than 30,more than 30,2 to 4,3 years,No,No,External,more than 5,no change,1 vehicle,1994,2,0,5707
Feb,4,Friday,Toyota,Urban,Mar,1,Male,Married,26,Third Party,Sedan - Collision,1,1,3167,6,400,2,more than 30,more than 30,2 to 4,6 years,No,No,External,1 to 2,no change,1 vehicle,1994,2,0,5229
Jan,1,Sunday,Pontiac,Urban,Dec,5,Male,Married,58,Policy Holder,Sedan - All Perils,1,1,3168,9,400,3,more than 30,more than 30,1,more than 7,No,No,External,3 to 5,no change,1 vehicle,1994,1,0,6177
Feb,4,Monday,VW,Rural,Mar,1,Male,Married,40,Policy Holder,Sedan - All Perils,1,2,3169,12,400,4,more than 30,more than 30,2 to 4,more than 7,No,No,External,1 to 2,no change,1 vehicle,1994,1,0,6433
Dec,3,Friday,VW,Urban,Jan,2,Male,Married,47,Third Party,Sedan - Liability,0,3,3170,11,400,2,more than 30,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,1994,0,0,5965
Aug,1,Friday,Mazda,Urban,Aug,2,Female,Single,27,Policy Holder,Sedan - Liability,0,2,3171,1,400,1,more than 30,more than 30,1,7 years,No,No,External,more than 5,no change,1 vehicle,1994,0,0,5278
Apr,2,Tuesday,Toyota,Urban,May,3,Male,Married,57,Policy Holder,Sedan - Collision,1,1,3172,1,400,4,more than 30,more than 30,1,more than 7,Yes,No,External,3 to 5,4 to 8 years,2 vehicles,1994,2,0,4532
Apr,4,Wednesday,Honda,Urban,May,1,Male,Single,0,Policy Holder,Sedan - All Perils,1,5,3173,3,400,1,more than 30,more than 30,none,new,No,No,External,none,no change,1 vehicle,1994,1,1,6057
Sep,4,Sunday,Mazda,Urban,Sep,4,Male,Single,30,Policy Holder,Sedan - Liability,0,1,3174,15,400,1,more than 30,more than 30,2 to 4,6 years,No,No,External,none,no change,1 vehicle,1994,0,0,5771
Dec,2,Tuesday,Pontiac,Rural,Dec,3,Male,Married,50,Policy Holder,Sedan - Collision,1,1,3175,5,400,2,more than 30,more than 30,2 to 4,6 years,No,No,External,more than 5,no change,1 vehicle,1994,2,0,5264
Dec,2,Saturday,Chevrolet,Urban,Dec,2,Male,Married,34,Third Party,Sedan - Liability,0,2,3176,7,400,2,more than 30,more than 30,2 to 4,6 years,No,No,External,more than 5,no change,1 vehicle,1994,0,0,5721
Sep,4,Saturday,Toyota,Urban,Sep,4,Male,Married,79,Policy Holder,Sedan - Liability,0,2,3177,5,400,1,more than 30,more than 30,2 to 4,more than 7,No,No,External,more than 5,no change,1 vehicle,1994,0,0,5149
Dec,3,Wednesday,VW,Urban,Jan,2,Male,Married,36,Policy Holder,Sedan - All Perils,1,5,3178,10,400,2,more than 30,more than 30,none,7 years,No,No,External,more than 5,no change,1 vehicle,1994,1,0,6187
Dec,2,Wednesday,Accura,Urban,Dec,2,Male,Married,31,Third Party,Sedan - All Perils,1,1,3179,16,400,1,more than 30,more than 30,none,7 years,No,No,External,3 to 5,no change,1 vehicle,1994,1,0,5598
Apr,4,Wednesday,Chevrolet,Urban,May,1,Male,Married,52,Third Party,Utility - All Perils,2,5,3180,15,400,4,more than 30,more than 30,2 to 4,more than 7,No,No,External,more than 5,no change,1 vehicle,1994,1,0,5998
Jun,2,Wednesday,Pontiac,Rural,Jun,3,Male,Married,39,Policy Holder,Sedan - Collision,1,2,3181,4,400,4,more than 30,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,1994,2,0,4763
Sep,5,Friday,Pontiac,Urban,Oct,1,Male,Single,27,Third Party,Sedan - Liability,0,1,3182,6,400,1,more than 30,more than 30,none,6 years,No,No,External,more than 5,no change,1 vehicle,1994,0,0,5559
Sep,5,Friday,Pontiac,Rural,Oct,1,Male,Married,34,Policy Holder,Sedan - Collision,1,5,3183,3,400,1,more than 30,more than 30,none,7 years,No,No,Internal,more than 5,no change,1 vehicle,1994,2,0,6207
Sep,2,Wednesday,Pontiac,Urban,Sep,3,Male,Single,20,Third Party,Sedan - Collision,1,1,3184,11,400,2,more than 30,more than 30,none,3 years,No,No,External,3 to 5,no change,1 vehicle,1994,2,0,5616
Sep,2,Sunday,Pontiac,Urban,Sep,4,Male,Single,34,Policy Holder,Sedan - Liability,0,1,3185,15,400,4,more than 30,more than 30,2 to 4,7 years,No,No,External,1 to 2,no change,1 vehicle,1994,0,0,4430
Dec,3,Monday,Mazda,Urban,Dec,3,Male,Married,51,Policy Holder,Sedan - Liability,0,1,3186,14,400,1,more than 30,more than 30,more than 4,more than 7,No,No,External,1 to 2,1 year,1 vehicle,1994,0,0,4909
Apr,4,Wednesday,Pontiac,Urban,May,1,Male,Married,40,Policy Holder,Sedan - All Perils,1,5,3187,1,400,2,more than 30,more than 30,1,5 years,No,No,External,none,no change,1 vehicle,1994,1,1,5711
Sep,3,Friday,Chevrolet,Urban,Sep,4,Male,Married,38,Policy Holder,Sedan - Liability,0,1,3188,12,400,4,more than 30,more than 30,more than 4,7 years,No,No,External,3 to 5,no change,1 vehicle,1994,0,0,5599
Sep,2,Tuesday,Mazda,Urban,Sep,3,Male,Single,28,Policy Holder,Sedan - Liability,0,2,3189,9,400,2,more than 30,more than 30,2 to 4,6 years,No,No,External,more than 5,no change,1 vehicle,1994,0,0,5061
Sep,3,Wednesday,Pontiac,Rural,Sep,4,Male,Married,27,Third Party,Sedan - All Perils,1,1,3190,1,400,2,more than 30,more than 30,none,7 years,No,No,External,1 to 2,no change,1 vehicle,1994,1,0,5294
Jul,2,Wednesday,Honda,Urban,Jul,3,Male,Married,54,Policy Holder,Sedan - Liability,0,2,3191,4,400,3,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,1994,0,0,5013
Apr,5,Thursday,Toyota,Urban,Apr,5,Male,Single,45,Policy Holder,Sedan - Collision,1,3,3192,16,400,4,more than 30,more than 30,2 to 4,more than 7,No,No,External,none,no change,1 vehicle,1994,2,1,6033
Apr,5,Thursday,Toyota,Urban,Apr,5,Male,Married,63,Policy Holder,Sedan - Collision,1,2,3193,2,400,3,more than 30,more than 30,1,more than 7,No,No,External,none,4 to 8 years,2 vehicles,1994,2,1,5741
May,4,Sunday,Pontiac,Urban,Jun,2,Male,Married,50,Policy Holder,Sedan - Collision,1,1,3194,10,700,1,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,1994,2,0,4940
May,2,Saturday,Honda,Urban,May,3,Female,Single,28,Policy Holder,Sedan - Collision,1,1,3195,16,400,2,more than 30,more than 30,2 to 4,6 years,No,No,Internal,1 to 2,no change,1 vehicle,1994,2,0,5241
May,2,Thursday,Honda,Urban,May,2,Male,Married,33,Third Party,Sedan - Collision,1,1,3196,9,400,1,more than 30,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,1994,2,0,5963
May,2,Wednesday,Pontiac,Urban,May,2,Male,Married,39,Policy Holder,Sedan - Liability,0,2,3197,14,400,2,more than 30,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,1994,0,0,4868
May,2,Wednesday,Honda,Urban,May,2,Male,Married,52,Policy Holder,Sedan - Collision,1,1,3198,4,400,1,more than 30,more than 30,more than 4,7 years,No,No,External,more than 5,no change,1 vehicle,1994,2,0,5810
May,1,Friday,Pontiac,Urban,May,1,Male,Married,72,Third Party,Sedan - All Perils,1,0,3199,8,400,4,more than 30,more than 30,2 to 4,more than 7,No,No,External,3 to 5,no change,3 to 4,1994,1,0,5883
May,1,Saturday,Toyota,Urban,May,2,Male,Married,23,Policy Holder,Sedan - Collision,1,1,3200,5,400,3,more than 30,more than 30,1,5 years,No,No,External,none,no change,1 vehicle,1994,2,0,5508
Apr,5,Sunday,Pontiac,Urban,May,2,Male,Single,25,Third Party,Sedan - All Perils,1,1,3201,4,400,1,more than 30,more than 30,none,2 years,No,No,External,1 to 2,no change,1 vehicle,1994,1,0,7059
Oct,3,Saturday,Pontiac,Urban,Nov,3,Male,Married,57,Policy Holder,Sedan - Liability,0,1,3202,12,400,3,more than 30,more than 30,2 to 4,7 years,No,No,External,3 to 5,no change,1 vehicle,1994,0,0,4478
Oct,3,Saturday,Pontiac,Urban,Oct,3,Male,Married,44,Policy Holder,Sedan - Collision,1,2,3203,16,400,4,more than 30,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,1994,2,0,5045
Sep,4,Sunday,Chevrolet,Urban,Oct,1,Male,Married,46,Policy Holder,Sedan - All Perils,1,2,3204,8,400,1,more than 30,more than 30,1,more than 7,No,No,External,1 to 2,no change,1 vehicle,1994,1,0,5065
Sep,4,Friday,Toyota,Urban,Sep,4,Male,Married,30,Policy Holder,Sedan - Collision,1,1,3205,7,400,3,more than 30,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,1994,2,0,5379
Sep,3,Saturday,Pontiac,Urban,Sep,4,Female,Single,22,Policy Holder,Sedan - Collision,1,1,3206,7,400,2,more than 30,more than 30,more than 4,5 years,No,No,External,none,no change,1 vehicle,1994,2,0,6366
Sep,1,Monday,Chevrolet,Urban,Sep,2,Male,Married,49,Third Party,Sedan - Liability,0,5,3207,16,400,3,more than 30,more than 30,none,more than 7,No,No,External,more than 5,no change,1 vehicle,1994,0,0,4083
Sep,1,Tuesday,Mazda,Urban,Sep,3,Female,Single,30,Third Party,Sedan - Liability,0,1,3208,12,400,4,more than 30,more than 30,none,6 years,No,No,External,more than 5,no change,1 vehicle,1994,0,0,4936
Jul,5,Friday,Mazda,Urban,Aug,3,Male,Married,28,Policy Holder,Sedan - All Perils,1,2,3209,16,400,3,more than 30,more than 30,2 to 4,6 years,No,No,External,1 to 2,no change,1 vehicle,1994,1,0,6673
Apr,5,Friday,Pontiac,Urban,May,1,Male,Married,49,Policy Holder,Sedan - All Perils,1,1,3210,2,400,2,more than 30,more than 30,1,6 years,No,No,External,none,no change,1 vehicle,1994,1,1,6067
May,3,Thursday,Toyota,Urban,May,3,Male,Married,26,Policy Holder,Sedan - Liability,0,2,3211,16,400,4,more than 30,more than 30,more than 4,7 years,No,No,External,more than 5,no change,1 vehicle,1994,0,0,5692
May,3,Saturday,Pontiac,Urban,May,4,Male,Married,52,Third Party,Sedan - Liability,0,1,3212,6,400,2,more than 30,more than 30,1,more than 7,No,No,External,more than 5,no change,1 vehicle,1994,0,0,5007
Mar,1,Tuesday,Honda,Urban,Mar,1,Male,Married,42,Policy Holder,Sedan - Liability,0,1,3213,16,400,4,more than 30,more than 30,2 to 4,7 years,No,No,External,1 to 2,no change,1 vehicle,1994,0,0,4006
Feb,5,Monday,Honda,Urban,Mar,1,Male,Single,0,Policy Holder,Sedan - Collision,1,5,3214,9,300,1,more than 30,more than 30,1,new,No,No,External,none,2 to 3 years,2 vehicles,1994,2,0,5874
Apr,2,Tuesday,Chevrolet,Urban,Apr,2,Male,Married,42,Policy Holder,Sedan - Collision,1,5,3215,4,400,2,more than 30,more than 30,none,more than 7,No,No,External,more than 5,no change,1 vehicle,1994,2,0,5597
Apr,3,Friday,Toyota,Urban,Apr,3,Male,Married,52,Policy Holder,Sedan - All Perils,1,1,3216,10,400,3,more than 30,more than 30,none,more than 7,No,No,External,1 to 2,no change,1 vehicle,1994,1,0,4904
Apr,5,Friday,Pontiac,Urban,May,1,Female,Married,45,Third Party,Sedan - Collision,1,1,3217,5,400,1,more than 30,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,1994,2,0,7511
Jun,2,Tuesday,Pontiac,Rural,Jun,2,Male,Married,47,Third Party,Sedan - Liability,0,1,3218,13,400,4,more than 30,more than 30,more than 4,more than 7,No,No,External,more than 5,no change,1 vehicle,1994,0,0,4558
Jul,4,Wednesday,Accura,Urban,Aug,1,Male,Married,54,Third Party,Sedan - All Perils,1,5,3219,12,400,1,more than 30,more than 30,2 to 4,more than 7,No,No,External,more than 5,no change,1 vehicle,1994,1,0,6664
Aug,4,Tuesday,Mazda,Urban,Sep,4,Male,Married,35,Policy Holder,Sedan - All Perils,1,2,3220,5,400,3,more than 30,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,1994,1,0,6614
Sep,5,Thursday,VW,Urban,Oct,1,Male,Married,71,Third Party,Sedan - Liability,0,4,3221,1,400,1,more than 30,more than 30,2 to 4,more than 7,No,No,External,none,no change,1 vehicle,1994,0,0,4343
Sep,5,Friday,Mazda,Urban,Oct,2,Female,Single,23,Policy Holder,Sedan - Liability,0,1,3222,8,400,4,more than 30,more than 30,2 to 4,2 years,No,No,External,more than 5,no change,1 vehicle,1994,0,0,4590
Nov,2,Tuesday,Pontiac,Rural,Nov,2,Male,Married,46,Policy Holder,Sedan - Collision,1,2,3223,13,400,2,more than 30,more than 30,none,more than 7,No,No,External,3 to 5,no change,1 vehicle,1994,2,0,5650
Dec,4,Tuesday,Pontiac,Urban,Jan,2,Male,Married,34,Policy Holder,Sedan - Collision,1,5,3224,1,400,4,more than 30,more than 30,more than 4,7 years,No,No,External,1 to 2,no change,1 vehicle,1994,2,0,5961
Apr,4,Saturday,VW,Urban,Apr,4,Male,Married,38,Policy Holder,Sedan - Liability,0,5,3225,1,700,1,more than 30,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,1994,0,0,5891
Jun,4,Tuesday,Pontiac,Urban,Sep,4,Female,Married,33,Third Party,Sedan - Collision,1,0,3226,16,400,1,more than 30,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,1994,2,0,6179
Aug,4,Thursday,Honda,Urban,Aug,4,Male,Married,45,Policy Holder,Sedan - Liability,0,1,3227,1,400,4,more than 30,more than 30,more than 4,7 years,No,No,External,more than 5,no change,1 vehicle,1994,0,0,7689
Sep,1,Tuesday,Toyota,Urban,Sep,4,Male,Married,44,Policy Holder,Sedan - Collision,1,1,3228,14,400,4,more than 30,more than 30,more than 4,7 years,Yes,No,External,more than 5,no change,1 vehicle,1994,2,0,5813
Oct,5,Monday,Honda,Urban,Nov,1,Male,Married,43,Policy Holder,Sedan - All Perils,1,1,3229,10,400,2,more than 30,more than 30,1,7 years,No,No,External,more than 5,no change,1 vehicle,1994,1,0,5489
Nov,2,Monday,Pontiac,Urban,Nov,3,Female,Single,30,Policy Holder,Sedan - Liability,0,1,3230,2,400,3,more than 30,more than 30,2 to 4,5 years,No,No,External,3 to 5,no change,1 vehicle,1994,0,0,6007
Nov,3,Thursday,Ford,Urban,Nov,3,Male,Married,39,Policy Holder,Sedan - Liability,0,1,3231,6,400,1,more than 30,more than 30,more than 4,7 years,No,No,External,more than 5,no change,1 vehicle,1994,0,0,4743
Dec,4,Tuesday,Toyota,Urban,Dec,4,Male,Married,41,Policy Holder,Sedan - Collision,1,1,3232,2,400,3,more than 30,more than 30,more than 4,7 years,No,No,External,1 to 2,no change,1 vehicle,1994,2,0,6107
Dec,4,Tuesday,Mazda,Urban,Dec,5,Male,Married,58,Policy Holder,Sedan - Liability,0,1,3233,7,400,2,more than 30,more than 30,2 to 4,more than 7,No,No,External,none,no change,1 vehicle,1994,0,0,4669
Nov,2,Sunday,Honda,Urban,Nov,2,Female,Single,31,Policy Holder,Sedan - Liability,0,1,3234,4,400,1,more than 30,more than 30,2 to 4,6 years,No,No,External,1 to 2,no change,1 vehicle,1994,0,0,4977
Sep,1,Tuesday,Ford,Urban,Sep,1,Male,Married,67,Policy Holder,Sedan - Collision,1,2,3235,9,400,4,more than 30,more than 30,none,more than 7,No,No,External,more than 5,4 to 8 years,2 vehicles,1994,2,0,5812
Aug,3,Sunday,Toyota,Urban,Sep,5,Male,Single,21,Policy Holder,Sedan - Collision,1,1,3236,11,400,3,more than 30,more than 30,1,6 years,No,No,External,none,no change,1 vehicle,1994,2,0,4887
Jun,4,Saturday,Mazda,Urban,Jun,4,Male,Married,33,Policy Holder,Sedan - Collision,1,1,3237,3,400,3,more than 30,more than 30,2 to 4,7 years,No,No,External,1 to 2,no change,1 vehicle,1994,2,0,4942
Apr,4,Friday,Toyota,Urban,Apr,4,Male,Married,44,Policy Holder,Sedan - Liability,0,2,3238,1,400,3,more than 30,more than 30,more than 4,7 years,No,No,External,more than 5,no change,1 vehicle,1994,0,0,4387
Mar,3,Thursday,Pontiac,Urban,Mar,4,Male,Single,30,Policy Holder,Sedan - Liability,0,1,3239,7,400,2,more than 30,more than 30,2 to 4,5 years,No,No,External,3 to 5,no change,1 vehicle,1994,0,0,4431
Jan,2,Monday,Toyota,Urban,Jan,2,Male,Single,34,Policy Holder,Sedan - Collision,1,2,3240,12,400,2,more than 30,more than 30,1,6 years,No,No,External,none,no change,3 to 4,1994,2,0,4829
Jan,1,Thursday,Honda,Urban,Jan,3,Male,Married,28,Policy Holder,Sedan - All Perils,1,2,3241,12,400,3,more than 30,more than 30,more than 4,6 years,No,No,External,more than 5,no change,1 vehicle,1994,1,0,5244
Dec,4,Saturday,Pontiac,Urban,Dec,5,Female,Married,44,Policy Holder,Sedan - Liability,0,3,3242,16,400,1,more than 30,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,1994,0,0,5244
Dec,1,Sunday,Mazda,Urban,Jan,4,Male,Married,43,Policy Holder,Sedan - Collision,1,1,3243,16,400,4,more than 30,more than 30,more than 4,7 years,No,No,External,3 to 5,no change,1 vehicle,1994,2,0,4955
Nov,3,Monday,Toyota,Urban,Nov,3,Male,Married,65,Policy Holder,Sedan - Liability,0,1,3244,6,400,2,more than 30,more than 30,more than 4,more than 7,No,No,External,none,no change,1 vehicle,1994,0,0,7678
Nov,1,Thursday,Honda,Urban,Nov,2,Female,Married,44,Policy Holder,Sedan - Liability,0,1,3245,5,400,2,more than 30,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,1994,0,0,4037
Sep,5,Thursday,Accura,Urban,Oct,1,Male,Single,38,Policy Holder,Sedan - All Perils,1,2,3246,10,400,3,more than 30,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,1994,1,0,5279
Sep,4,Thursday,Honda,Urban,Sep,4,Male,Married,38,Policy Holder,Sedan - Collision,1,1,3247,8,400,4,more than 30,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,1994,2,0,5565
Aug,5,Monday,Pontiac,Urban,Sep,1,Male,Single,34,Policy Holder,Sedan - Liability,0,2,3248,14,400,3,more than 30,more than 30,none,6 years,No,No,External,1 to 2,no change,1 vehicle,1994,0,0,5241
Aug,4,Friday,Chevrolet,Rural,Aug,5,Male,Married,61,Policy Holder,Sedan - Liability,0,2,3249,12,400,1,more than 30,more than 30,none,7 years,No,No,External,more than 5,no change,1 vehicle,1994,0,0,5014
Aug,4,Thursday,Honda,Urban,Sep,1,Female,Single,28,Policy Holder,Sedan - Liability,0,1,3250,1,400,1,more than 30,more than 30,more than 4,6 years,No,No,External,none,no change,1 vehicle,1994,0,0,5704
May,1,Sunday,Honda,Urban,May,3,Male,Single,0,Policy Holder,Sedan - All Perils,1,5,3251,1,400,4,more than 30,more than 30,none,new,No,No,External,none,no change,1 vehicle,1994,1,1,5578
Aug,2,Wednesday,Ford,Urban,Aug,3,Male,Married,27,Policy Holder,Sedan - All Perils,1,2,3252,5,400,2,more than 30,more than 30,more than 4,7 years,No,No,External,none,no change,1 vehicle,1994,1,0,5818
Jul,4,Wednesday,Pontiac,Urban,Aug,1,Male,Married,29,Third Party,Sedan - All Perils,1,1,3253,16,400,1,more than 30,more than 30,1,7 years,No,No,External,1 to 2,no change,1 vehicle,1994,1,0,5135
